epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,3042.03,0.2931,0.49597,0.46627,0.98998,0.96244,0.96096,0.98441,0.96278,0.96154,0.9601,0.98352,0.97354,0.2385,0.24983,0.2539,0.90907,0.000428134,0.000428134,0.000428134
30,3147.65,0.29704,0.5096,0.47164,0.98837,0.97392,0.94484,0.98468,0.96125,0.97392,0.94484,0.98484,0.97316,0.23443,0.25015,0.30577,0.90926,0.000408267,0.000408267,0.000408267
31,3250.89,0.29423,0.49733,0.43433,0.99377,0.98365,0.94518,0.98603,0.96637,0.98365,0.94518,0.98599,0.97384,0.23906,0.24189,0.24664,0.90876,0.000388345,0.000388345,0.000388345
32,3354.15,0.29165,0.46674,0.42524,0.98984,0.98087,0.9658,0.98868,0.97101,0.98087,0.9658,0.98841,0.97713,0.22674,0.23173,0.2142,0.89608,0.000368423,0.000368423,0.000368423
33,3462,0.27935,0.49127,0.41596,0.97869,0.96849,0.95766,0.9872,0.96586,0.96849,0.95766,0.98659,0.97636,0.21885,0.23611,0.24915,0.88856,0.000348556,0.000348556,0.000348556
34,3572.99,0.28227,0.46902,0.40862,0.97988,0.97129,0.96831,0.9897,0.96919,0.97011,0.96751,0.98849,0.97718,0.22269,0.22624,0.22795,0.89792,0.000328797,0.000328797,0.000328797
35,3685.57,0.28052,0.46597,0.40215,0.98102,0.98201,0.96499,0.98818,0.97173,0.98112,0.96549,0.98807,0.97618,0.20618,0.23997,0.23354,0.87719,0.000309202,0.000309202,0.000309202
36,3796.8,0.27972,0.44414,0.40822,0.97621,0.98453,0.96459,0.98752,0.97064,0.98358,0.96374,0.98739,0.97582,0.20639,0.23261,0.21484,0.87139,0.000289824,0.000289824,0.000289824
37,3910.61,0.26026,0.41667,0.38381,0.9674,0.98733,0.97059,0.98926,0.97289,0.98649,0.97141,0.988,0.97859,0.21391,0.23651,0.19367,0.88368,0.000270716,0.000270716,0.000270716
38,4022.67,0.26963,0.41508,0.36631,0.97425,0.98917,0.96668,0.98874,0.97391,0.99052,0.96344,0.98864,0.97898,0.19948,0.21794,0.19594,0.86823,0.00025193,0.00025193,0.00025193
39,4134.69,0.26449,0.42092,0.37179,0.96507,0.98572,0.96241,0.9895,0.97549,0.98386,0.9607,0.98824,0.97824,0.18601,0.23063,0.18906,0.85291,0.000233519,0.000233519,0.000233519
40,4245.78,0.2625,0.44179,0.36835,0.96808,0.98819,0.96779,0.99011,0.97613,0.98725,0.96693,0.98925,0.9795,0.18316,0.21972,0.18689,0.84936,0.000215531,0.000215531,0.000215531
41,4359.05,0.25651,0.41141,0.35153,0.96273,0.98561,0.97016,0.99107,0.97881,0.9847,0.96931,0.98912,0.98026,0.18712,0.21019,0.19444,0.86004,0.000198018,0.000198018,0.000198018
42,4471.26,0.26126,0.40529,0.35686,0.96745,0.99303,0.97658,0.99009,0.97834,0.99114,0.97492,0.98905,0.9804,0.19147,0.21944,0.19275,0.85919,0.000181025,0.000181025,0.000181025
43,4581.78,0.249,0.40127,0.33668,0.95528,0.98618,0.9594,0.98883,0.97636,0.98618,0.9594,0.98777,0.97858,0.18724,0.23262,0.18808,0.85481,0.000164602,0.000164602,0.000164602
